,Date,GameID,Drive,qtr,down,time,TimeUnder,TimeSecs,PlayTimeDiff,SideofField,yrdln,yrdline100,ydstogo,ydsnet,GoalToGo,FirstDown,posteam,DefensiveTeam,desc,PlayAttempted,Yards.Gained,sp,Touchdown,ExPointResult,TwoPointConv,DefTwoPoint,Safety,PuntResult,PlayType,Passer,PassAttempt,PassOutcome,PassLength,PassLocation,InterceptionThrown,Interceptor,Rusher,RushAttempt,RunLocation,RunGap,Receiver,Reception,ReturnResult,Returner,BlockingPlayer,Tackler1,Tackler2,FieldGoalResult,FieldGoalDistance,Fumble,RecFumbTeam,RecFumbPlayer,Sack,Challenge.Replay,ChalReplayResult,Accepted.Penalty,PenalizedTeam,PenaltyType,PenalizedPlayer,Penalty.Yards,PosTeamScore,DefTeamScore,ScoreDiff,AbsScoreDiff,Season
707,9/10/15,2015091000,4,1,2,2:40,3,2860,34,NE,18,82,2,9,0,0,NE,PIT,(2:40) D.Lewis up the middle to NE 19 for 1 yard (M.Mitchell).,1,1,0,0,NA,NA,NA,0,NA,Run,NA,0,NA,NA,NA,0,NA,D.Lewis,1,middle,NA,NA,0,NA,NA,NA,M.Mitchell,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,2015
728,9/10/15,2015091000,4,1,3,2:05,3,2825,35,NE,19,81,1,10,0,1,NE,PIT,(2:05) T.Brady up the middle to NE 20 for 1 yard (L.Timmons; S.McLendon).,1,1,0,0,NA,NA,NA,0,NA,Run,NA,0,NA,NA,NA,0,NA,T.Brady,1,middle,end,NA,0,NA,NA,NA,L.Timmons,S.McLendon,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,2015
749,9/10/15,2015091000,4,1,1,1:14,2,2774,51,NE,20,80,10,0,0,1,NE,PIT,"(1:14) D.Lewis left end pushed ob at NE 25 for 5 yards (L.Timmons). PENALTY on NE-N.Solder, Offensive Holding, 10 yards, enforced at NE 20 - No Play.",1,5,0,0,NA,NA,NA,0,NA,No Play,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,L.Timmons,NA,NA,NA,0,NA,NA,0,0,NA,1,NE,NA,N.Solder,10,0,0,0,0,2015
787,9/10/15,2015091000,4,1,1,0:45,1,2745,29,NE,10,90,20,9,0,0,NE,PIT,(:45) (Shotgun) T.Brady pass short left to A.Dobson to NE 19 for 9 yards (W.Gay).,1,9,0,0,NA,NA,NA,0,NA,Pass,T.Brady,1,Complete,Short,left,0,NA,NA,0,NA,NA,A.Dobson,1,NA,NA,NA,W.Gay,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,2015
812,9/10/15,2015091000,4,1,2,0:12,1,2712,33,NE,19,81,11,18,0,0,NE,PIT,(:12) (Shotgun) T.Brady pass short left to J.Edelman to NE 28 for 9 yards (C.Allen).,1,9,0,0,NA,NA,NA,0,NA,Pass,T.Brady,1,Complete,Short,left,0,NA,NA,0,NA,NA,J.Edelman,1,NA,NA,NA,C.Allen,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,2015
836,9/10/15,2015091000,4,1,NA,0:00,0,2700,12,NE,19,19,0,18,0,0,,NA,END QUARTER 1,1,0,0,0,NA,NA,NA,0,NA,Quarter End,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,2015
852,9/10/15,2015091000,4,2,3,15:00,15,2700,0,NE,28,72,2,27,0,1,NE,PIT,(15:00) J.Edelman right end to NE 37 for 9 yards (S.Thomas; J.Harrison). reverse,1,9,0,0,NA,NA,NA,0,NA,Run,NA,0,NA,NA,NA,0,NA,J.Edelman,1,right,end,NA,0,NA,NA,NA,S.Thomas,J.Harrison,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,2015
877,9/10/15,2015091000,4,2,1,14:30,15,2670,30,NE,37,63,10,24,0,0,NE,PIT,(14:30) B.Bolden left end to NE 34 for -3 yards (R.Shazier).,1,-3,0,0,NA,NA,NA,0,NA,Run,NA,0,NA,NA,NA,0,NA,B.Bolden,1,left,end,NA,0,NA,NA,NA,R.Shazier,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,2015
898,9/10/15,2015091000,4,2,2,13:55,14,2635,35,NE,34,66,13,31,0,0,NE,PIT,(13:55) T.Brady pass short left to D.Lewis to NE 41 for 7 yards (C.Allen; S.Tuitt).,1,7,0,0,NA,NA,NA,0,NA,Pass,T.Brady,1,Complete,Short,left,0,NA,NA,0,NA,NA,D.Lewis,1,NA,NA,NA,C.Allen,S.Tuitt,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,2015
923,9/10/15,2015091000,4,2,3,13:21,14,2601,34,NE,41,59,6,39,0,1,NE,PIT,(13:21) (Shotgun) T.Brady pass short middle to J.Edelman to NE 49 for 8 yards (A.Blake).,1,8,0,0,NA,NA,NA,0,NA,Pass,T.Brady,1,Complete,Short,middle,0,NA,NA,0,NA,NA,J.Edelman,1,NA,NA,NA,A.Blake,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,2015
948,9/10/15,2015091000,4,2,1,12:44,13,2564,37,NE,49,51,10,42,0,0,NE,PIT,(12:44) D.Lewis right tackle to PIT 48 for 3 yards (A.Blake; R.Shazier).,1,3,0,0,NA,NA,NA,0,NA,Run,NA,0,NA,NA,NA,0,NA,D.Lewis,1,right,tackle,NA,0,NA,NA,NA,A.Blake,R.Shazier,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,2015
970,9/10/15,2015091000,4,2,2,12:13,13,2533,31,PIT,48,48,7,55,0,1,NE,PIT,(12:13) T.Brady pass short right to J.Edelman to PIT 35 for 13 yards (W.Allen).,1,13,0,0,NA,NA,NA,0,NA,Pass,T.Brady,1,Complete,Short,right,0,NA,NA,0,NA,NA,J.Edelman,1,NA,NA,NA,W.Allen,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,2015
994,9/10/15,2015091000,4,2,1,11:40,12,2500,33,PIT,35,35,10,74,0,1,NE,PIT,(11:40) T.Brady pass deep right to R.Gronkowski to PIT 16 for 19 yards (R.Golden).,1,19,0,0,NA,NA,NA,0,NA,Pass,T.Brady,1,Complete,Deep,right,0,NA,NA,0,NA,NA,R.Gronkowski,1,NA,NA,NA,R.Golden,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,2015
1019,9/10/15,2015091000,4,2,1,11:16,12,2476,24,PIT,16,16,10,90,0,0,NE,PIT,"(11:16) (Shotgun) T.Brady pass short right to R.Gronkowski for 16 yards, TOUCHDOWN.",1,16,1,1,NA,NA,NA,0,NA,Pass,T.Brady,1,Complete,Short,right,0,NA,NA,0,NA,NA,R.Gronkowski,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,6,0,6,6,2015
1040,9/10/15,2015091000,4,2,NA,11:11,12,2471,5,PIT,15,15,0,90,0,0,NE,PIT,"S.Gostkowski extra point is GOOD, Center-J.Cardona, Holder-R.Allen.",1,0,1,0,Made,NA,NA,0,NA,Extra Point,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,7,0,7,7,2015
